Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Nome_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Link_Download;Parecer_Auditor
CLASSES - FII;32.903.621/0001-71;HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESP LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999650;Sem ressalva e sem ênfase
CLASSES - FII;32.903.661/0001-13;HSI LOG II FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999651;Sem ressalva e sem ênfase
CLASSES - FII;33.046.142/0001-49;BTG PACTUAL SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999890;Sem ressalva e sem ênfase
CLASSES - FII;34.197.776/0001-65;MOGNO HOTÉIS - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999888;Sem ressalva e sem ênfase
CLASSES - FII;34.197.811/0001-46;VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-09;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=986852;Sem ressalva e sem ênfase
CLASSES - FII;34.691.520/0001-00;CAPITÂNIA HBC RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE  LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1000774;Sem ressalva e sem ênfase
CLASSES - FII;34.736.474/0001-18;RBR DESENVOLVIMENTO COMERCIAL I - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001341;Sem ressalva e com ênfase
F.I.I.;34.835.191/0001-23;INTER RESIDENCE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1000856;Sem ressalva e sem ênfase
CLASSES - FII;34.895.752/0001-80;BRIO REAL ESTATE III - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999665;Sem ressalva e com ênfase
CLASSES - FII;35.360.687/0001-50;HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESP LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999654;Sem ressalva e sem ênfase
